Country,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,Democratic Quality,FDI,Birth rate,Population Density
Norway,7.594,11.08178902,0.950127661,71.086586,0.953016818,0.210104033,0.249711379,0.717159748,1.374089599,-5582644417,12.2,14.334653
Pakistan,5.472,8.519006729,0.690263569,57.46299744,0.712657094,0.030328112,0.713928223,0.557435155,-1.57769084,2308000000,21.9,250.6226408
Palestinian Territories,4.743,8.46180439,0.824345112,63.07249832,0.631611288,-0.13439247,0.830646336,0.414400935,,34914012.48,4.13,654
Panama,6.43,10.00271416,0.911904812,68.04541016,0.899573505,-0.164080471,0.840777099,0.390996099,0.481653512,5705933333,17.9,54.26398978
Peru,5.663,9.413349152,0.830123365,65.40724182,0.826552153,-0.166747421,0.895384133,0.254595339,0.06017337,7301341296,17.8,24.8218737
Philippines,5.524,8.938967705,0.851028562,60.25149155,0.925703108,-0.147851661,0.711165547,0.83773005,-0.579913437,7989357148,23.7,346.5077763
Poland,6.123,10.21113968,0.881854117,69.09680176,0.830842614,-0.133134007,0.847753942,0.502480447,0.67418617,12697000000,9.5,124.0322893
Portugal,5.41,10.23670864,0.899984837,72.15874481,0.905065656,-0.182598397,0.880970538,0.501088142,1.095024586,7317282694,9,112.7199495
Romania,5.945,10.02889156,0.811240137,66.85708618,0.838586688,-0.164420739,0.925658047,0.298341334,0.391211659,5173151871,8.9,85.62869726
Russia,5.81,10.10368347,0.896151304,62.97878265,0.73087424,-0.158567786,0.861590207,0.556597233,-1.052689075,22426060000,11,8.811905857
Saudi Arabia,6.371,10.81198788,0.840086281,64.08374023,0.814142168,-0.156905413,,,-0.632573783,7796780000,18.3,15.00542621
Senegal,4.631,7.811985493,0.743759334,57.98087692,0.686937034,-0.029066099,0.825241864,0.61072278,-1.136798382,400908416.5,33.4,80.05535934
Serbia,5.398,9.561537743,0.883770406,65.68487549,0.684846342,-0.081415586,0.851457834,0.511197984,0.130402133,2526235012,9,80.70726808
Sierra Leone,4.571,7.253018379,0.652287126,44.38652802,0.710613549,0.08922568,0.848398328,0.73751694,-0.14390333,195200781,36.3,102.4772652
Singapore,6.343,11.31704998,0.897349894,75.81240082,0.926127851,0.120411552,0.161790684,0.92699796,0.622577965,69493948794,8.6,7877.074753
Slovakia,6.173,10.31394196,0.913386643,68.77391052,0.714224696,-0.072076842,0.920422673,0.34168008,0.782842278,3663303573,9.7,111
Slovenia,5.948,10.35351658,0.928187847,70.94329071,0.920862675,-0.033475116,0.828794718,0.239779726,0.996108115,1404533644,8.2,102.5375869
South Africa,4.724,9.405202866,0.870313287,55.22930908,0.787427902,-0.139256224,0.864781916,0.423274219,0.256476521,1702792855,20.2,46.16965875
South Korea,5.875,10.48973465,0.806929946,74.04169464,0.538113713,0.003354594,0.850690424,0.358582199,0.398182631,11087066667,8.3,525.6697271
South Sudan,3.254,7.461285591,0.556822658,50.02017212,0.456011087,0.785317779,0.761269629,0.461550504,-2.044661045,-5143333.333,35.5,21
Spain,6.31,10.44522285,0.903158188,74.49821472,0.755560756,-0.042156253,0.791268766,0.269585967,0.773103893,23568157594,9.2,92.96008589
Sri Lanka,4.471,9.377954483,0.822770596,65.29253387,0.827077389,0.084577233,0.844210029,0.517589927,,983866558.9,15.2,338.1332058
Sweden,7.314,10.77040577,0.914016783,73.00654602,0.934582114,0.155486837,0.239366919,0.559461951,1.241599798,15214202176,12.1,24.37947755
Switzerland,7.487,10.95554829,0.949661374,73.17375946,0.924996912,0.167874664,0.316183478,0.819706738,1.39024353,71410977653,10.5,211.9120609
Taiwan Province of China,6.441,,0.891119123,71.20999908,0.75965476,,0.742780089,0.322822392,0.981160998,3156000000,8.3,649
Tajikistan,5.352,7.956589699,0.662693322,62.97124863,0.832002461,0.124936186,0.71833688,0.92979306,-1.232459188,288928660.4,23.3,62.93849284
Tanzania,3.303,7.896313667,0.705010295,56.66548538,0.800495505,0.106598906,0.653606057,0.913339019,-0.293201685,1484984710,35.6,62.75388613
Thailand,6.072,9.688437462,0.877268732,66.41879272,0.922896802,0.202452391,0.883816779,0.605078816,-1.015279174,7030573638,11,134.7704509
Togo,3.999,7.251669884,0.507805228,52.25727463,0.716694415,-0.037704486,0.725519598,0.48495236,-0.353067905,256347388.6,33.3,139.8594717
Trinidad & Tobago,6.192,10.32386494,0.916029036,61.73831177,0.859140456,-0.014604381,0.911336362,0.272540897,,-67950277.04,12.7,266.028525
Tunisia,4.592,9.294288635,0.717381597,65.88056183,0.477956653,-0.233531162,0.868826747,0.250827312,-0.329550922,832811416.9,18.2,73.39734809
Turkey,5.483,10.11937332,0.876467824,65.79473114,0.644434214,-0.246927157,0.670910537,0.586161256,-1.316572189,14083000000,15.7,103.3089138
Turkmenistan,5.636,9.702640533,0.908454895,60.39269257,0.720399201,0.04033754,,,-1.219764948,4390624571,19.1,12.04853418
Uganda,4.161,7.442951202,0.739956141,51.76347733,0.772344112,0.071719982,0.81577003,0.655109107,-0.717801034,687618545.9,42.9,206.9549056
Ukraine,4.103,8.967859268,0.858324885,63.17335129,0.598875523,0.016125007,0.936764002,0.11093653,-0.933315337,2973000000,10.3,77.67562867
United Arab Emirates,6.774,11.12180805,0.83552736,68.5815506,0.962016642,0.191113129,,,-0.340456009,8890402000,15.1,110.9412241
United Kingdom,6.814,10.58457565,0.937495291,72.05612946,0.812733293,0.281046003,0.418611348,0.440120846,0.808277428,1.24E+11,12.1,271.0793742
United States,6.886,10.89986897,0.921002865,69.7709198,0.868496716,0.181657359,0.681191266,0.386535019,0.728748739,4.45E+11,12.5,35.35295387
Uruguay,6.379,9.917771339,0.91380167,68.38036346,0.897851646,-0.104762152,0.626581967,0.413032115,1.140277624,694354599.2,13,19.67833771
Uzbekistan,6.096,8.762778282,0.942131102,63.16617966,0.985177755,0.11402946,0.464641601,0.964690447,-1.115213037,65952784.5,16.8,74.8581727
Vietnam,5.103,8.7426548,0.876323581,66.24576569,0.894351125,-0.090151913,0.799240172,,-0.619271696,12833333333,15.5,304.9649423
Yemen,3.355,7.751505375,0.789555013,54.98103333,0.595190763,-0.157162398,0.829097569,0.247786984,-2.222765923,-288222404.2,28.4,52.24466037
Zambia,4.377,8.211669922,0.74375391,53.80378342,0.823168576,0.129821524,0.739540637,0.717004061,-0.058470815,1037127896,41.5,22.3239067
Zimbabwe,3.692,7.538187027,0.754147053,52.67448425,0.752826095,-0.066004686,0.751208007,0.682646692,-0.863043964,371106906.7,34.2,41.75409676
